TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
Iowa St.,22–11,2013,B12,38,10,33,22,11,115.5,98.2,0.8665,53.6,47.8,18.6,18.5,34.6,28.9,33.1,32.4,52.1,48.6,37,30.7,69.6,0.7,R32
Butler,25–8,2013,A10,40,6,33,25,8,109.3,93.3,0.8606,51,46.9,20.5,17.3,36.2,26,38.1,36.5,50.7,45.6,34.3,33.1,64.4,4.7,R32
Mississippi,26–8,2013,SEC,52,12,34,26,8,109.7,95.6,0.8284,49.3,46.6,15.8,21.7,33.8,31.9,39.3,31.3,49.3,46.4,33,31.3,71.1,1.6,R32
California,20–11,2013,P12,58,12,31,20,11,105.6,93.3,0.8057,48.2,44.5,18.8,16.6,32.8,30.6,31.3,30.7,48.9,42,30.4,33.6,66.4,0.5,R32
Temple,23–9,2013,A10,59,9,32,23,9,109.9,97.2,0.8041,49.2,48.7,16.2,20.2,31.2,31.9,35.5,33.9,48.7,46.8,33.4,35.5,67.1,1.5,R32
Harvard,18–9,2013,Ivy,112,14,27,18,9,105.3,99.9,0.648,55,49,21.1,21.1,26.1,31.5,50.4,30.7,52.4,49,40.1,32.7,64.8,-2.6,R32
Wichita St.,33–0,2014,MVC,17,1,33,33,0,115.4,93.4,0.919,52,44.8,16.2,18.5,35.4,25.9,47.3,35.6,52,43.7,34.7,31.3,65.1,8.1,R32
Kansas,24–9,2014,B12,8,2,33,24,9,120.2,95.3,0.9354,54.5,47.1,19,16.3,37.1,29.1,48.9,45.8,55.7,44.1,34.5,35.9,68.3,6.9,R32
Villanova,28–4,2014,BE,9,2,32,28,4,116,92.6,0.9306,54,46.6,17.2,20.2,33.1,28.9,45,38.7,53.9,43.4,36.1,35.4,67.4,8.3,R32
Creighton,26–7,2014,BE,7,3,33,26,7,126.5,100.2,0.9356,59.3,48,15.2,15.1,28.1,27.8,34.3,32.9,56.2,46.8,42.1,33.6,65.6,5.6,R32
Syracuse,27–5,2014,ACC,16,3,32,27,5,115.3,93.3,0.9194,48.2,48.3,14.6,21.9,38.1,31.7,38.8,36.5,47.5,45.8,33.5,34.6,61.5,7.9,R32
Saint Louis,25–6,2014,A10,31,5,31,25,6,105.3,89.9,0.8606,49.7,44,18.6,21,29.2,29.1,40.6,34.3,50.5,44.1,32,29.1,67.4,3.8,R32
North Carolina,23–9,2014,ACC,27,6,32,23,9,111.7,93.7,0.8831,49.8,46.5,17.1,19.4,37.8,31.3,44.6,41.8,49.6,46.2,33.6,31.3,70.9,4.2,R32
Oregon,23–9,2014,P12,36,7,32,23,9,117.3,100.4,0.8567,53.4,49.3,16.3,19.3,32.8,31.8,42.9,48,50.7,49.7,39.2,32.3,69.4,2.6,R32
Texas,23–10,2014,B12,37,7,33,23,10,110.8,95,0.8557,47.4,46,17.7,16.6,39.4,30,43.8,40.5,46.9,42.9,32.4,34.2,68.9,3.6,R32
Gonzaga,27–6,2014,WCC,20,8,33,27,6,114.5,93.7,0.9094,55.4,44.4,16.9,17.8,30.7,29.5,40.6,38.3,54,42.8,38.7,31.8,66.1,4,R32
Memphis,22–9,2014,Amer,35,8,31,22,9,112.3,96.1,0.8573,52,48.1,18.8,20.6,36.1,33.2,39.9,33.7,52.7,48.8,33.5,31,69.7,2.8,R32
Pittsburgh,25–9,2014,ACC,12,9,34,25,9,117.1,94.2,0.9243,50.9,46.8,16.5,19.2,37.7,28.8,46,37,50,45.3,35.6,33.1,64.1,4.1,R32
Harvard,25–4,2014,Ivy,34,12,29,25,4,111.2,95,0.8595,52.3,46.1,17.6,21.4,32.6,28.9,47.7,36.5,49.9,44.8,38.9,32.6,65.5,2.2,R32
North Dakota St.,22–6,2014,Sum,76,12,28,22,6,114.7,104.8,0.738,55,50.1,15.5,17.4,31.4,27.4,41.7,40.5,56,46.8,34.9,37.5,64.5,0.2,R32
Stephen F. Austin,29–2,2014,Slnd,73,12,31,29,2,110.6,100.6,0.7482,52.4,50.2,16.8,24.4,38.5,29.3,40.1,52.5,52.3,49.5,35.2,34.8,63.8,1.7,R32
Mercer,23–8,2014,ASun,95,14,31,23,8,108.3,100.9,0.6915,53.9,46.5,17.8,19.2,32.6,30.1,37.3,41.6,51.3,46.8,38.8,30.6,65.4,-2.8,R32
Virginia,29–3,2015,ACC,3,2,32,29,3,113.4,82.9,0.9735,51.2,41.7,16.1,18.1,34,24.3,34.2,27.9,50.1,39.5,36.1,30.3,58.3,10,R32
Villanova,32–2,2015,BE,6,1,34,32,2,120.9,90.9,0.9636,55.3,45.5,16.6,21.7,32.7,31.1,42.4,30.3,53.1,45.2,38.9,30.8,64.7,11.3,R32
Kansas,26–8,2015,B12,12,2,34,26,8,113.6,90.5,0.9319,49.3,44.4,19.1,17.5,34.9,31.8,43,33.6,46.5,43.5,37.5,30.9,67.2,9,R32
Northern Iowa,30–3,2015,MVC,17,5,33,30,3,113.9,91.9,0.9218,56.2,45.1,18,19.3,26.9,26.9,40.2,26.7,53.9,43.8,39.7,31.6,58.4,5.4,R32
Ohio St.,23–10,2015,B10,18,10,33,23,10,114.2,92.4,0.9199,54.5,46.6,17,22.1,34.1,31.4,34.8,27.4,53.9,45.8,37.2,31.8,66.6,2.5,R32
Iowa,21–11,2015,B10,19,7,32,21,11,113.4,92.2,0.9148,47.8,45.1,17.4,19.3,35.8,30.5,39.6,29.2,46.9,43.1,33.2,32.4,64.6,2.1,R32
Butler,22–10,2015,BE,22,6,32,22,10,108.7,89.2,0.9069,49.1,46.9,17.4,19.3,35.5,24.9,40.5,33.3,47.2,47.3,35.8,30.6,64.1,3.5,R32
Georgetown,21–10,2015,BE,23,4,31,21,10,111.7,92.7,0.895,50.9,46.6,19.2,20.6,34.3,31.3,44.1,43.9,50.4,42.7,34.7,35.9,64.6,3.8,R32
San Diego St.,25–8,2015,MWC,28,8,33,25,8,102.1,86.5,0.8715,46.7,42.7,18.6,21.5,35.9,30.2,36.2,26.7,46.1,41.2,32.1,30.6,61.2,1.3,R32
Maryland,27–6,2015,B10,30,4,33,27,6,110,93.4,0.8676,50.9,45.4,18.4,17.3,29.2,30.4,44.5,27.9,47.8,44.6,37.2,31.2,64.6,6.9,R32
Arkansas,26–8,2015,SEC,33,5,34,26,8,113.5,96.6,0.8646,50.2,48.6,16.6,22.6,35.6,34.2,37.3,38.5,49.1,46.6,35,35.3,70.1,3.8,R32
Cincinnati,22–10,2015,Amer,44,8,32,22,10,106.3,92.2,0.8366,50.4,44.5,21.3,20.3,37.3,31.7,37.8,25.4,50.5,42,33.3,32.9,60.1,-1.3,R32
Oregon,24–9,2015,P12,53,8,33,24,9,112.8,99.1,0.8162,52.1,47.8,17,16.8,30.6,31.7,29.5,35.3,50.6,46.8,36.7,33.3,66.8,3,R32
Dayton,25–8,2015,A10,59,11,33,25,8,106.5,94.6,0.7975,52.8,47.3,17.8,21.1,24.2,28,48.6,31.1,52.9,47.1,35.1,31.8,64,0.8,R32
Georgia St.,23–9,2015,SB,75,14,32,23,9,108.8,98.5,0.7587,51.9,45,16.5,22.8,30.5,34.5,38.4,39.4,53.4,42.2,31.9,32.6,63.5,-3,R32
UAB,18–15,2015,CUSA,145,14,33,18,15,101.6,100.2,0.5414,47.8,47.2,20.4,19.8,34,33.1,37.2,34.1,46.9,47,33.2,31.8,65.4,-7.5,R32
Kentucky,26–8,2016,SEC,6,4,34,26,8,122.3,95.5,0.9451,53.7,44.9,16.1,17.9,37.8,31.7,38.3,41.4,52.8,43,37,33,68,5,R32
Xavier,27–5,2016,BE,12,2,32,27,5,117.2,94.3,0.9244,51.5,47.9,17.5,19.4,35.7,26.3,42.9,34.4,50,48.4,36.2,31.5,72.6,7.7,R32
Wichita St.,23–8,2016,MVC,16,11,31,23,8,111.5,90.1,0.9203,49.6,44.5,14.8,23.2,31.9,23.6,37.8,45.4,49.8,41.8,32.9,32.7,66.8,0.2,R32
Iowa,21–10,2016,B10,19,7,31,21,10,115.4,94.6,0.9076,51.8,47.4,15,18.9,32.3,31.4,33.4,25.2,48.7,48,38.2,31,69.9,2,R32
Butler,21–10,2016,BE,29,9,31,21,10,118,99.1,0.881,52.5,49.4,14.5,18.6,32.8,27.8,39.8,36.2,50,48.5,38.7,33.9,69.2,2.1,R32
VCU,24–10,2016,A10,30,10,34,24,10,111.3,93.7,0.8791,50.9,49,16.2,21.9,33.3,27.8,32.3,37,49.6,48.4,35.6,33.6,70.3,-0.1,R32
Utah,25–8,2016,P12,31,3,33,25,8,115.2,97.1,0.8779,55.2,47.4,17.8,15.2,29,28,38.4,23.4,55.8,43.8,36,36.8,67,5.6,R32
Connecticut,24–10,2016,Amer,32,9,34,24,10,110.3,93.1,0.8756,52,44.2,16.5,18.1,29.1,29.2,29.7,34.5,50.9,41.3,36.2,32.7,66.8,1.2,R32
Saint Joseph's,27–7,2016,A10,38,8,34,27,7,112.9,96.7,0.8564,51.3,47.9,14.3,16.2,28.3,25.8,37.7,24.5,52.5,48.9,32.7,31,71.1,3.4,R32
Providence,23–10,2016,BE,50,9,33,23,10,108.4,95,0.8194,48.1,48.8,16.3,20.7,30.9,30.2,37.7,27.8,48.1,49.2,32.1,32.1,69.5,3.3,R32
Yale,21–6,2016,Ivy,55,12,27,21,6,108,95.2,0.8099,52.5,46.3,20.1,18.2,39.2,24,42.1,33.8,51.1,45.5,37.1,31.8,66.8,-0.1,R32
Hawaii,25–5,2016,BW,63,13,30,25,5,107.2,95.7,0.7853,52.5,44.9,18.4,19.9,30.9,26.7,46.3,39.3,54.6,43.8,32.8,31.3,71.3,0.8,R32
Northern Iowa,21–12,2016,MVC,66,11,33,21,12,108.7,97.4,0.7787,53.3,48.6,15.2,18.7,17.8,27.2,32.8,23.6,51.5,48.5,37.2,32.6,63.4,-2.1,R32
Arkansas Little Rock,27–4,2016,SB,68,12,31,27,4,106.6,95.9,0.7707,52.4,45.1,15.9,21.4,26.9,30.1,31.4,38.3,49.4,45.1,38.7,30.1,63.8,2.1,R32
Stephen F. Austin,23–5,2016,Slnd,70,14,28,23,5,108.8,98.1,0.7666,55.5,49.6,18.2,25.9,33.5,29.7,33.9,40.1,55.1,49.5,37.5,33.2,68.4,-1.2,R32
Middle Tennessee St.,22–9,2016,CUSA,123,15,31,22,9,102.1,98.5,0.6027,51.8,48.5,17.2,19.4,28.2,25.5,35.7,42.8,48.2,47.2,38.9,34.1,68.5,-3.2,R32
Villanova,31–3,2017,BE,2,1,34,31,3,122.2,91.9,0.9636,57.9,48.1,17.1,20.2,29.6,27.6,35.3,21.8,59.7,48.9,37,31.3,65.7,11.1,R32
Virginia,22–10,2017,ACC,3,5,32,22,10,114.1,86.5,0.9605,52.9,45.7,15.6,21,28.7,24.2,25.7,34,50,45,39.3,31.2,60.2,5,R32
Louisville,24–8,2017,ACC,8,2,32,24,8,116.2,89.6,0.9521,51.4,45.1,16.1,19.8,36.3,28.7,34.8,39.8,50.2,44.4,35.9,30.9,69.7,6.9,R32
Duke,27–8,2017,ACC,10,2,35,27,8,121.1,94.6,0.9447,54.8,47.5,16.2,17.2,31.5,29.4,38.9,30.9,53.8,48.8,37.6,29.5,69.5,8.6,R32
Wichita St.,29–4,2017,MVC,14,10,33,29,4,116.7,92.6,0.9349,54.7,43.9,15.9,19.8,33.9,24.2,40.9,35.2,51,42.3,40.7,31,70.5,4.1,R32
Saint Mary's,28–4,2017,WCC,15,7,32,28,4,118.1,94,0.9322,57.9,45.2,17.3,15.4,33.4,21.4,26.6,25.5,56.5,45.1,39.9,30.3,60.8,3.9,R32
Cincinnati,29–5,2017,Amer,16,6,34,29,5,113.4,91,0.9268,51.7,44.7,15.2,20.8,35.8,29.6,32.5,29.6,51.8,41,34.3,34.1,65.7,5.6,R32
Notre Dame,25–9,2017,ACC,19,5,34,25,9,119.5,96.1,0.9246,54,49,13.9,18.8,27.4,31,28.2,26.6,51.3,48.1,38.6,33.7,68.4,5.9,R32
Iowa St.,23–10,2017,B12,21,5,33,23,10,118.2,95.3,0.9222,54.8,49,14.1,20,26.1,32,27.6,25.7,51.2,47.1,40.2,34.8,69.6,6.5,R32
Florida St.,25–8,2017,ACC,24,3,33,25,8,116,94,0.918,53.9,47.4,16.3,19.8,34,30.4,37.7,37.3,54.1,45.1,35.6,34.4,72.5,5.9,R32
Northwestern,23–11,2017,B10,37,8,34,23,11,111.2,94.9,0.8608,49.7,46,15.9,18,30.9,30.7,30.8,35.5,48.9,43.9,34.1,33.5,66.7,2,R32
Michigan St.,19–14,2017,B10,41,9,33,19,14,109.6,94.3,0.8501,53.9,46.3,20.7,16.1,29.3,27.3,33.8,35.1,52.4,43.5,37.6,34.7,68.2,0.4,R32
Rhode Island,24–9,2017,A10,42,11,33,24,9,110.1,94.7,0.8498,50.7,44.7,16.6,19.5,33.1,29.3,39.6,45.4,50.5,45.3,34,29,67.7,0.4,R32
Middle Tennessee St.,29–4,2017,CUSA,49,12,33,29,4,110.1,96.1,0.8271,54.3,47.4,15.6,20.2,30.2,24.3,29.7,37.9,53.8,46.8,37,32.5,65.7,2,R32
Arkansas,25–9,2017,SEC,51,8,34,25,9,115.3,100.9,0.8238,51.5,48.2,16.4,18.3,32.4,33.5,38.8,39.3,50.2,47.2,36.4,33.2,70.9,3.9,R32
USC,24–9,2017,P12,67,11,33,24,9,111.1,99.4,0.7829,51.9,49.7,15.7,18,30.8,31.2,37.2,23.9,50.5,46.8,36.3,36.5,70.4,1.3,R32
Cincinnati,30–4,2018,Amer,5,2,34,30,4,110.9,86.4,0.9469,51.6,42.8,17.3,22.3,38.1,28.7,36.8,27.4,50.5,40.7,35.7,30.9,66.5,5.9,R32
Michigan St.,29–4,2018,B10,6,3,33,29,4,119.3,93.6,0.9423,57.8,42.6,19.2,14.5,36.1,26.8,36.3,29.2,55.5,38.4,41.3,33.3,68.2,8,R32
North Carolina,25–10,2018,ACC,8,2,35,25,10,121.1,96.7,0.9304,52.3,50.1,16.8,16.2,38.4,26,28.6,25.8,51.1,45,36.4,38.3,72.5,7.1,R32
Ohio St.,24–8,2018,B10,11,5,32,24,8,116,93.4,0.9233,54.4,48.3,17.3,18,30.3,24.9,31.5,29,55.1,46,35.3,34.6,67.8,4.5,R32
Xavier,28–5,2018,BE,13,1,33,28,5,121.1,97.6,0.9227,55.7,50,17,15.7,30,22.9,40.2,24.8,55.9,50,36.9,33.4,71.7,8.8,R32
Tennessee,25–8,2018,SEC,14,3,33,25,8,114.2,92.1,0.9221,50.7,46.8,18,20.6,33.6,31.5,36.5,38.3,47,46.1,38.4,31.9,67.3,6.4,R32
Florida,20–12,2018,SEC,16,6,32,20,12,115.8,95,0.9074,51.1,48.9,14.3,20.1,28.8,30.8,33.1,31.7,47.5,46.6,37.5,35.7,68.3,1.4,R32
Butler,20–13,2018,BE,18,10,33,20,13,115.2,95.4,0.8974,53.8,52,15.7,19.8,27.3,24.7,26.3,35.1,54.1,49.6,35.6,37.4,69.4,1.7,R32
Auburn,25–7,2018,SEC,19,4,32,25,7,116.8,96.9,0.8958,51.8,49.5,16.7,20.8,33,28.3,39.9,38.4,49.4,47.1,36.6,35.4,73.7,4.3,R32
Houston,26–7,2018,Amer,20,6,33,26,7,114.4,95,0.8952,53.9,45.8,17.8,19.4,34.7,25.8,32.2,41.1,51.4,43.8,38.7,32.7,69.4,2.4,R32
Seton Hall,21–11,2018,BE,23,8,32,21,11,116.3,97.3,0.8868,52.8,49.9,17.9,17.9,34.2,28.5,34.6,28.9,52,49.8,36.4,33.4,70.7,2.5,R32
Rhode Island,25–7,2018,A10,51,7,32,25,7,110.1,96.4,0.822,51.5,50.1,15.5,22.9,31,27.5,30.5,40.7,51.1,50.3,35,33.1,69.9,1.6,R32
Alabama,19–15,2018,SEC,58,9,34,19,15,106.9,94.7,0.8023,51.6,47.2,20.1,18.7,29.1,30.6,41.5,36.8,53.2,46.8,32.5,31.9,70.1,-1.1,R32
Buffalo,25–8,2018,MAC,71,13,33,25,8,113.4,102.5,0.7625,54.8,48.5,16.6,18.2,32,28.6,30.3,40.4,54.2,47.7,37.2,33.3,74,-1.3,R32
Marshall,23–10,2018,CUSA,119,13,33,23,10,108.2,103.2,0.6329,54.9,49.7,17.2,18.2,22.3,31.6,32.9,29,56.2,48.5,35.5,34.8,76.1,-2.5,R32
UMBC,21–10,2018,AE,198,16,31,21,10,102.3,105.3,0.417,52.2,52.1,16.9,20.7,26.4,29,30,31.1,48.3,50.8,38.2,35.9,69.3,-4.9,R32
Kansas,25–9,2019,B12,16,4,34,25,9,112.5,92.2,0.9079,52.3,47.8,18.7,18.5,29.7,28.3,32.9,27.7,52.2,45.9,35,33.6,71.5,8.3,R32
Florida,19–15,2019,SEC,22,10,34,19,15,109.8,91.4,0.8922,49.9,48.4,18,22.6,31.1,31.7,30.4,33.6,49.8,48.6,33.5,32,64.3,0.6,R32
Maryland,22–10,2019,B10,23,6,32,22,10,112.5,93.8,0.8893,51.9,46,19.8,14.3,33.9,24.7,32.9,26.6,51.3,44.7,35.3,32,67.6,4.2,R32
Buffalo,30–3,2019,MAC,27,6,33,30,3,113.2,95.2,0.8803,53.4,47.2,15.6,20.4,31.6,26.7,32.2,31.5,55.8,48.8,33.6,29.7,75.2,5.7,R32
UCF,23–8,2019,Amer,29,9,31,23,8,111.1,93.9,0.8742,52.7,45.5,17.5,18.3,29.6,29.5,46.4,29.6,52.5,44.6,35.4,31.3,66.3,2.2,R32
Wofford,26–4,2019,SC,30,7,30,26,4,115.8,97.9,0.8737,57.8,50.2,16.2,19.3,32.3,24.6,27.7,31.8,54.3,50.9,41.6,32.7,67.2,4.2,R32
Oklahoma,19–13,2019,B12,32,9,32,19,13,108.9,92.8,0.863,50.2,47.1,17.4,17.5,26.2,27.9,31.4,24.1,49.6,45,34.2,33.3,70.5,2.5,R32
Villanova,25–9,2019,BE,38,6,34,25,9,115.1,98.7,0.8547,53.4,49.9,17,18.1,30.8,27.3,35.3,28.6,53.9,49.7,35.3,33.5,65.1,3.7,R32
Iowa,22–11,2019,B10,43,10,33,22,11,116.4,100.5,0.844,52.6,51.6,17.2,18.5,29.9,29,42.3,28.8,51.5,53.4,36.1,32.6,70.9,3.2,R32
Ohio St.,19–14,2019,B10,44,11,33,19,14,108.3,94.1,0.835,50.5,48.2,18.7,18.4,27.7,26.1,34,31.8,49.9,47.4,34.3,33,67.2,0.9,R32
Baylor,19–13,2019,B12,46,9,32,19,13,112,98.1,0.8217,50.9,48.6,19.9,18.5,38.1,28.8,32.6,36.5,50.9,47.1,34,34.1,66.7,0.9,R32
Washington,26–8,2019,P12,47,9,34,26,8,106,93.4,0.8101,52.1,47.3,19.8,24,29.6,34.4,35.1,34.5,52.3,46,34.6,33.1,67.4,3.3,R32
Minnesota,21–13,2019,B10,49,10,34,21,13,109.5,96.6,0.8097,48.3,49.1,17.6,16.6,31.9,28.1,42,28.3,48.4,48.3,32.1,33.9,69,2.7,R32
Murray St.,25–4,2019,OVC,54,12,29,25,4,110.5,98.5,0.7896,55.2,46.4,17.2,19.5,32.4,30,33.2,28.4,57.2,48.4,34.4,28.5,70.1,1.3,R32
Liberty,25–6,2019,BSth,77,12,31,25,6,108.7,99.7,0.73,56.1,48.7,17.2,20.8,25.7,26.5,26,32.4,56.9,48.4,36.6,32.9,63.2,-0.4,R32
UC Irvine,29–5,2019,BW,79,13,34,29,5,105.5,97,0.7234,51.4,43.7,17.1,16.7,33.6,26.4,28.6,33.8,50.3,40.7,36,33.3,66.6,0.9,R32
Duke,27–5,2008,ACC,5,2,32,27,5,117.2,88.8,0.9607,54.1,47.6,18.2,24.9,34.3,33.5,40.4,32,51.8,47.1,38.4,32.8,73.7,8.9,R32
Georgetown,27–5,2008,BE,7,2,32,27,5,113.1,87.9,0.9479,56.2,41.9,20.9,20.2,33.1,33,34,35.8,55.6,40.3,38,29.9,63,7.7,R32
Marquette,23–9,2008,BE,12,6,32,23,9,113,89.9,0.9328,50.7,45.9,19,24.3,38,33.6,37.9,40.9,49.1,46.6,35.9,29.5,68.9,3.8,R32
Texas A&M,23–10,2008,B12,16,9,33,23,10,112.5,91.2,0.9182,51.9,44.6,19.1,17.3,35.1,28.2,42.7,26.8,51.2,41.8,35.6,33.9,64.2,3.1,R32
Kansas St.,19–11,2008,B12,20,11,30,19,11,112.8,92.2,0.9103,49.7,48,20.8,22.5,42.1,30.8,37.4,37.4,50.2,44.7,32.4,36.8,72.2,1,R32
Pittsburgh,25–9,2008,BE,23,4,34,25,9,116.1,95.7,0.902,51.1,48,18.4,21,39.7,34.1,36.7,29.1,51,47.3,34.3,32.8,65.2,5.3,R32
Notre Dame,24–7,2008,BE,24,5,31,24,7,115.6,95.3,0.9016,52.8,46.9,18.2,17.6,36.6,31,34.8,22.8,48.4,44.7,41,34.1,70.8,4.4,R32
Purdue,24–8,2008,B10,28,6,32,24,8,108.7,90.2,0.895,49,48.9,19.4,26.6,32.8,31,37.6,42.4,45.3,47.2,37,35,68.2,3.8,R32
Butler,29–3,2008,Horz,30,7,32,29,3,114.2,95.3,0.8897,54.1,48,16.9,22.8,29.7,31.6,36.8,31.2,52,47.9,37.6,32.1,61.2,4.7,R32
Mississippi St.,22–10,2008,SEC,33,8,32,22,10,106.3,90.5,0.8654,52.3,42.4,21.9,18.2,35.2,32.6,38.3,27.3,53.5,39.4,33.4,32,68.6,0.6,R32
Arkansas,22–11,2008,SEC,35,9,33,22,11,108.2,92.2,0.8619,51.7,47.4,22.1,21.7,37.6,31.4,37.1,36.5,52,46.4,33.9,32.8,68.9,0.5,R32
Oklahoma,22–11,2008,B12,36,6,33,22,11,108,92.3,0.8588,50.1,46.2,19.6,20.2,33.5,30,38.1,30.4,49,45.4,34.8,31.9,65.4,2.8,R32
Miami FL,21–10,2008,ACC,43,7,31,21,10,110.7,95.4,0.8467,49.2,46.9,19.1,20.7,35.4,34.2,39.4,35.3,45.9,44,37.8,35,67.5,1.6,R32
UNLV,25–7,2008,MWC,46,8,32,25,7,108.2,93.9,0.8375,48.8,46.1,15.8,21.6,29.4,32.4,32.7,32.4,47.7,46.7,33.5,29.9,66.1,2.2,R32
Siena,22–10,2008,MAAC,105,13,32,22,10,106.4,100,0.6713,50.4,51.9,15.2,24,31.8,36.9,34.9,25,48,49.2,37.5,38,69.1,-3.8,R32
San Diego,20–13,2008,WCC,122,13,33,20,13,98.6,94.7,0.6145,49.3,48.9,21.5,22.7,32.2,30.1,36,33.5,48.6,48.5,34.1,33.4,65.5,-3.9,R32
UCLA,25–8,2009,P10,8,6,33,25,8,120,93,0.9494,56,49.8,18.8,24.3,37,31,30.3,34.9,54.1,48,39.8,36.2,66.6,4.5,R32
Arizona St.,24–9,2009,P10,11,6,33,24,9,117.2,92.6,0.9381,56.3,46.6,18.7,19.7,29.9,30.3,38,30.4,57.5,46.3,36.6,31.4,60.9,4.8,R32
Washington,24–8,2009,P10,16,4,32,24,8,111.6,89.8,0.9238,49.1,47.1,20.2,20.2,41.9,30.7,45.2,33.2,48.6,45.9,34.1,33.3,73.8,5,R32
Marquette,24–9,2009,BE,20,6,33,24,9,116.4,94.5,0.9166,51.7,50.9,16.7,22.1,34.7,30.8,45,30.5,51.3,50.1,34.9,35,69.5,3.4,R32
Texas,22–11,2009,B12,24,7,33,22,11,109.8,90.5,0.9021,48.1,45.9,18.4,20.2,39.2,32.9,38.5,36.3,48.1,43.5,32.1,34,66.6,2.6,R32
USC,21–12,2009,P10,27,10,33,21,12,108,89.8,0.8934,51,46.5,21.4,19.7,37.4,30.7,42.2,32.1,51.4,44.3,32.9,33.7,65.1,2.5,R32
Oklahoma St.,22–11,2009,B12,29,8,33,22,11,114.9,96.1,0.8867,53.6,49.9,17,20.9,28.4,30.5,40.3,41.3,50.8,49.1,38.4,34.3,71,2.7,R32
Wisconsin,19–12,2009,B10,31,12,31,19,12,112.7,94.5,0.8833,50.6,49.1,16.9,19.2,32.3,26.1,35.2,33.3,48.1,49.3,36.9,32.3,60.4,0.3,R32
LSU,26–7,2009,SEC,46,8,33,26,7,110.5,95,0.8499,49.6,45,17.6,19.2,37.6,30.4,36.1,34.9,47.5,44.4,36.9,31.1,66.7,2.4,R32
Michigan,19–13,2009,B10,49,10,32,19,13,110.5,95.6,0.8422,50.3,49.3,17.7,21.5,28.4,32.4,28.6,29.5,50.9,50.2,33.2,31.7,64.6,0.9,R32
Texas A&M,22–9,2009,B12,50,9,31,22,9,110.6,95.9,0.8373,50.2,48.5,19.4,18.6,36.6,29.7,47.6,29.5,48.1,46.1,36.7,35.9,65.1,1.9,R32
Maryland,20–13,2009,ACC,53,10,33,20,13,107.4,93.8,0.8253,46.8,47.5,17.9,22.5,35,36.9,27.7,29.8,45.7,45.5,33.1,34.4,68.1,0.1,R32
Siena,26–7,2009,MAAC,71,9,33,26,7,108.8,97.4,0.7807,51.6,49.1,18.1,23.3,33.9,34.8,36.3,24.1,52,48.3,33.5,33.8,71.9,0.1,R32
Cleveland St.,22–10,2009,Horz,73,13,32,22,10,102.1,91.5,0.7793,46.9,45.9,19.3,24.5,33.5,33.9,37.1,37.1,47.1,44.5,31,32.8,65.1,-1.4,R32
Dayton,26–7,2009,A10,78,11,33,26,7,101.1,91.5,0.7591,47.7,45.7,20.8,22.3,38,29.7,39.1,36.4,46.9,44.5,33.1,31.7,66.1,1.1,R32
Western Kentucky,23–8,2009,SB,104,12,31,23,8,107.9,102.1,0.6532,51.9,49.1,20.2,20,37.5,31.4,34,32,49.8,47.6,37,34.8,66.4,-2.1,R32
Kansas,32–2,2010,B12,1,1,34,32,2,120,88.2,0.9718,55.1,43,18.5,20.2,38.2,31.7,42.4,31.2,52.3,40,40.9,33,68.4,11.7,R32
Wisconsin,23–8,2010,B10,4,4,31,23,8,115,88.8,0.9514,51.6,46,14.7,20.1,30.4,25.8,32.3,36.6,49.9,44.6,36.1,33.4,60.4,3.9,R32
BYU,28–5,2010,MWC,10,7,33,28,5,116.4,92.3,0.9353,55.1,46.3,15.9,22,31,27,38.2,36.4,51.5,44.4,41.6,33.6,72,4,R32
Villanova,24–7,2010,BE,11,2,31,24,7,118.2,94.8,0.9267,53,47.2,19.1,20.9,38,31.9,44,49,51.1,45,37.6,33.8,72.6,5.5,R32
California,23–10,2010,P10,14,8,33,23,10,119.5,96.4,0.9223,53.4,48.3,17.5,18.9,35.2,30.7,35.2,34,52.3,48.4,37.3,32.1,68.7,1.7,R32
Maryland,22–8,2010,ACC,16,4,30,22,8,115.8,94,0.9166,51.9,44.3,16.7,21.5,35.3,37.1,33.9,29,49.9,41.7,38.8,33.2,70.3,3.3,R32
Missouri,22–10,2010,B12,17,10,32,22,10,110.6,89.9,0.9159,50.3,45.6,18.1,27.3,34.8,37.9,33.5,38.7,47.7,45.3,37.1,30.8,70.9,1.6,R32
Texas A&M,22–9,2010,B12,22,5,31,22,9,111.2,91.3,0.9056,49.8,46.9,18.4,20.9,33.9,30.5,49.9,37.4,49.4,45,33.6,33.9,66.1,4.4,R32
Georgia Tech,21–12,2010,ACC,28,10,33,21,12,109,90.3,0.8973,50.6,43.7,23.1,21.3,38.3,34.3,37.4,34.7,48.9,42,36.7,31.2,69.8,1.3,R32
Pittsburgh,24–8,2010,BE,34,3,32,24,8,110.1,92,0.8873,49.6,44.5,19.5,16.9,37.3,31.6,42.6,32.8,48.8,43.6,34.3,31.3,62,3.6,R32
Old Dominion,26–8,2010,CAA,37,11,34,26,8,106.5,89.3,0.8829,48.9,45.3,20.2,22.5,42.8,29.6,30.2,30.5,49.4,45.4,31.6,30,63.7,0.6,R32
