TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
USC,21–12,2016,P12,40,8,33,21,12,113.8,97.8,0.8507,52,47.3,16.5,16.9,32.4,31.9,35.3,28.5,49.2,46.7,38.5,32.3,72.2,0.2,R64
Michigan,21–12,2016,B10,45,11,33,21,12,114.7,99.5,0.8362,55,51.2,14.7,17.7,24.4,26.3,28.4,26.8,52.9,50.7,38.4,34.7,66.5,0.8,R64
Green Bay,21–12,2016,Horz,138,14,33,21,12,106.8,104.3,0.569,49.9,51.2,15.6,20.9,31.3,31.8,42.2,35.4,48.7,49.5,35,36.3,77.2,-4.5,R64
Buffalo,19–14,2016,MAC,147,14,33,19,14,104.2,102.3,0.5504,49.6,49.8,18.9,17.7,32.2,28.6,41.7,37.1,49.2,48.8,33.5,34.4,72.9,-5.8,R64
Austin Peay,16–17,2016,OVC,240,16,33,16,17,101.5,108.3,0.3238,51.5,53.6,20.4,18.8,31.8,29.7,46.5,31.1,51.2,52.9,34.9,36.4,70.3,-11.3,R64
Holy Cross,14–19,2016,Pat,282,16,33,14,19,97,107.6,0.2323,47.9,53.2,16.6,20,23.6,29.6,36.1,33.8,47.1,52.2,32.7,36.5,64.6,-14.5,R64
Creighton,24–9,2017,BE,26,6,33,24,9,115.6,95,0.9056,58,50,17.1,19.6,24.1,29.7,27.9,28.6,56.7,49.9,40.1,33.4,72.6,4.3,R64
Kansas St.,20–13,2017,B12,30,11,33,20,13,111.6,93,0.8905,52.4,48.9,19.2,22.4,29.5,32.5,40.6,32.2,51.5,44.6,36.1,38.3,67.3,1.7,R64
Minnesota,24–9,2017,B10,34,5,33,24,9,108.2,91.6,0.872,48.6,44.9,16.2,17.7,30.1,30,39.5,28.7,47.3,44.5,34.5,30.5,70.9,3.7,R64
Vermont,28–5,2017,AE,70,13,33,28,5,109.3,98.5,0.7674,55.4,48.2,17.1,19.7,30.1,26.9,34.9,26.6,55.6,46.7,36.7,34.5,65.8,0.7,R64
Virginia,31–2,2018,ACC,1,1,33,31,2,115,84.8,0.9708,52.9,43.7,14.1,21,27.4,25.7,24.8,26.2,50,42.4,39,30.3,60.4,11.3,R64
Texas,19–14,2018,B12,32,10,33,19,14,108.5,92.5,0.8624,49.8,47.9,17.1,18.3,29.4,29.5,33.2,26.1,51.4,47.1,31.5,33,66.7,1.4,R64
Iona,20–13,2018,MAAC,149,15,33,20,13,108.6,107.1,0.5401,54.1,52.1,16,18.8,24.4,30.5,30.4,29.2,51.3,51.4,38.8,35.5,71.6,-7.3,R64
